t,x,y
0.000,-0.354,-7.644E-3
0.002,-0.353,-7.644E-3
0.004,-0.352,-7.644E-3
0.006,-0.351,-7.644E-3
0.008,-0.349,-7.714E-3
0.010,-0.348,-7.784E-3
0.012,-0.345,-8.412E-3
0.014,-0.344,-8.412E-3
0.016,-0.343,-8.412E-3
0.018,-0.341,-8.412E-3
0.020,-0.339,-8.412E-3
0.022,-0.338,-8.482E-3
0.024,-0.336,-8.985E-3
0.026,-0.335,-8.985E-3
0.028,-0.333,-8.985E-3
0.030,-0.332,-8.985E-3
0.032,-0.330,-9.084E-3
0.034,-0.329,-8.886E-3
0.036,-0.327,-8.985E-3
0.038,-0.325,-8.886E-3
0.040,-0.323,-8.886E-3
0.042,-0.321,-8.886E-3
0.044,-0.320,-8.491E-3
0.046,-0.318,-8.392E-3
0.048,-0.316,-8.195E-3
0.050,-0.314,-9.084E-3
0.052,-0.312,-8.787E-3
0.054,-0.311,-8.787E-3
0.056,-0.310,-8.787E-3
0.058,-0.308,-8.787E-3
0.060,-0.306,-9.084E-3
0.062,-0.304,-8.787E-3
0.064,-0.303,-9.479E-3
0.066,-0.301,-9.479E-3
0.068,-0.299,-9.084E-3
0.070,-0.297,-9.084E-3
0.072,-0.296,-9.084E-3
0.074,-0.294,-9.182E-3
0.076,-0.293,-8.985E-3
0.078,-0.291,-8.985E-3
0.080,-0.290,-8.985E-3
0.082,-0.288,-8.787E-3
0.084,-0.286,-8.787E-3
0.086,-0.285,-8.787E-3
0.088,-0.283,-9.084E-3
0.090,-0.282,-8.985E-3
0.092,-0.279,-8.787E-3
0.094,-0.277,-8.590E-3
0.096,-0.276,-8.590E-3
0.098,-0.274,-8.491E-3
0.100,-0.273,-9.084E-3
0.102,-0.271,-8.787E-3
0.104,-0.270,-8.787E-3
0.106,-0.268,-8.787E-3
0.108,-0.266,-8.787E-3
0.110,-0.265,-8.787E-3
0.112,-0.264,-8.689E-3
0.114,-0.263,-8.689E-3
0.116,-0.261,-8.985E-3
0.118,-0.259,-8.689E-3
0.120,-0.258,-8.689E-3
0.122,-0.256,-8.787E-3
0.124,-0.255,-8.787E-3
0.126,-0.253,-8.689E-3
0.128,-0.253,-8.096E-3
0.130,-0.251,-8.195E-3
0.132,-0.249,-8.392E-3
0.134,-0.248,-8.392E-3
0.136,-0.246,-8.392E-3
0.138,-0.245,-8.392E-3
0.140,-0.244,-8.195E-3
0.142,-0.242,-8.195E-3
0.144,-0.240,-8.294E-3
0.146,-0.239,-8.294E-3
0.148,-0.238,-8.096E-3
0.150,-0.236,-7.800E-3
0.152,-0.235,-7.899E-3
0.154,-0.234,-7.603E-3
0.156,-0.232,-7.504E-3
0.158,-0.230,-7.504E-3
0.160,-0.229,-7.603E-3
0.162,-0.228,-7.603E-3
0.164,-0.226,-7.405E-3
0.166,-0.225,-7.405E-3
0.168,-0.223,-7.504E-3
0.170,-0.222,-7.504E-3
0.172,-0.220,-7.405E-3
0.174,-0.218,-7.208E-3
0.176,-0.217,-7.109E-3
0.178,-0.216,-7.109E-3
0.180,-0.215,-7.109E-3
0.182,-0.213,-7.208E-3
0.184,-0.212,-7.208E-3
0.186,-0.211,-7.208E-3
0.188,-0.209,-7.208E-3
0.190,-0.207,-7.010E-3
0.192,-0.206,-7.208E-3
0.194,-0.204,-7.208E-3
0.196,-0.203,-7.208E-3
0.198,-0.201,-7.208E-3
0.200,-0.199,-7.010E-3
0.202,-0.197,-6.714E-3
0.204,-0.196,-6.714E-3
0.206,-0.194,-6.418E-3
0.208,-0.193,-6.319E-3
0.210,-0.192,-6.122E-3
0.212,-0.190,-6.122E-3
0.214,-0.189,-6.122E-3
0.216,-0.188,-6.122E-3
0.218,-0.186,-5.825E-3
0.220,-0.185,-5.825E-3
0.222,-0.183,-5.628E-3
0.224,-0.182,-5.628E-3
0.226,-0.180,-5.035E-3
0.228,-0.179,-5.035E-3
0.230,-0.178,-5.134E-3
0.232,-0.177,-5.035E-3
0.234,-0.175,-5.035E-3
0.236,-0.174,-5.035E-3
0.238,-0.172,-5.134E-3
0.240,-0.171,-5.134E-3
0.242,-0.170,-5.134E-3
0.244,-0.168,-4.838E-3
0.246,-0.166,-4.739E-3
0.248,-0.165,-4.739E-3
0.250,-0.163,-4.739E-3
0.252,-0.160,-4.838E-3
0.254,-0.159,-4.937E-3
0.256,-0.158,-4.937E-3
0.258,-0.157,-4.937E-3
0.260,-0.156,-4.937E-3
0.262,-0.154,-4.937E-3
0.264,-0.152,-4.937E-3
0.266,-0.151,-4.937E-3
0.268,-0.151,-4.542E-3
0.270,-0.149,-4.542E-3
0.272,-0.148,-4.542E-3
0.274,-0.146,-4.542E-3
0.276,-0.145,-4.542E-3
0.278,-0.144,-4.542E-3
0.280,-0.142,-4.542E-3
0.282,-0.140,-4.147E-3
0.284,-0.138,-4.147E-3
0.286,-0.137,-4.147E-3
0.288,-0.136,-4.147E-3
0.290,-0.133,-4.147E-3
0.292,-0.132,-4.147E-3
0.294,-0.130,-4.147E-3
0.296,-0.130,-4.147E-3
0.298,-0.129,-4.147E-3
0.300,-0.128,-4.048E-3
0.302,-0.126,-3.949E-3
0.304,-0.125,-3.851E-3
0.306,-0.123,-3.851E-3
0.308,-0.122,-4.048E-3
0.310,-0.119,-4.048E-3
0.312,-0.118,-4.048E-3
0.314,-0.118,-4.048E-3
0.316,-0.117,-3.949E-3
0.318,-0.115,-3.653E-3
0.320,-0.113,-3.653E-3
0.322,-0.111,-3.357E-3
0.324,-0.110,-3.160E-3
0.326,-0.108,-3.160E-3
0.328,-0.107,-3.160E-3
0.330,-0.105,-3.160E-3
0.332,-0.104,-2.863E-3
0.334,-0.102,-2.863E-3
0.336,-0.101,-2.863E-3
0.338,-9.923E-2,-2.863E-3
0.340,-9.785E-2,-2.863E-3
0.342,-9.567E-2,-2.962E-3
0.344,-9.429E-2,-2.863E-3
0.346,-9.301E-2,-2.863E-3
0.348,-9.222E-2,-2.863E-3
0.350,-9.103E-2,-2.863E-3
0.352,-9.005E-2,-2.666E-3
0.354,-8.856E-2,-2.567E-3
0.356,-8.718E-2,-2.073E-3
0.358,-8.580E-2,-1.876E-3
0.360,-8.363E-2,-1.777E-3
0.362,-8.215E-2,-1.777E-3
0.364,-8.096E-2,-1.777E-3
0.366,-7.938E-2,-1.777E-3
0.368,-7.770E-2,-1.777E-3
0.370,-7.672E-2,-1.678E-3
0.372,-7.484E-2,-1.481E-3
0.374,-7.306E-2,-1.382E-3
0.376,-7.089E-2,-1.382E-3
0.378,-6.951E-2,-1.481E-3
0.380,-6.921E-2,-1.481E-3
0.382,-6.763E-2,-1.580E-3
0.384,-6.635E-2,-1.580E-3
0.386,-6.507E-2,-1.580E-3
0.388,-6.408E-2,-1.580E-3
0.390,-6.250E-2,-1.777E-3
0.392,-6.062E-2,-1.678E-3
0.394,-5.885E-2,-1.580E-3
0.396,-5.746E-2,-1.580E-3
0.398,-5.618E-2,-1.580E-3
0.400,-5.509E-2,-1.580E-3
0.402,-5.233E-2,-1.185E-3
0.404,-5.075E-2,-1.086E-3
0.406,-5.026E-2,-1.086E-3
0.408,-4.947E-2,-1.185E-3
0.410,-4.789E-2,-1.185E-3
0.412,-4.621E-2,-1.481E-3
0.414,-4.522E-2,-1.678E-3
0.416,-4.295E-2,-1.185E-3
0.418,-4.117E-2,-9.873E-4
0.420,-4.018E-2,-8.886E-4
0.422,-4.167E-2,-8.886E-4
0.424,-4.236E-2,-4.937E-4
0.426,-4.325E-2,1.975E-4
0.428,-4.502E-2,1.481E-3
0.430,-4.611E-2,1.975E-3
0.432,-4.739E-2,2.567E-3
0.434,-4.798E-2,2.765E-3
0.436,-4.877E-2,3.061E-3
0.438,-5.095E-2,3.258E-3
0.440,-5.253E-2,3.554E-3
0.442,-5.371E-2,4.048E-3
0.444,-5.430E-2,3.851E-3
0.446,-5.598E-2,4.542E-3
0.448,-5.815E-2,5.233E-3
0.450,-5.914E-2,5.332E-3
0.452,-5.964E-2,5.529E-3
0.454,-6.023E-2,5.529E-3
0.456,-6.072E-2,5.727E-3
0.458,-6.210E-2,5.727E-3
0.460,-6.359E-2,5.924E-3
0.462,-6.447E-2,6.122E-3
0.464,-6.536E-2,6.220E-3
0.466,-6.655E-2,6.615E-3
0.468,-6.773E-2,6.813E-3
0.470,-6.892E-2,7.208E-3
0.472,-6.981E-2,7.306E-3
0.474,-7.139E-2,7.504E-3
0.476,-7.346E-2,7.997E-3
0.478,-7.415E-2,8.096E-3
0.480,-7.573E-2,8.491E-3
0.482,-7.711E-2,8.886E-3
0.484,-7.741E-2,9.084E-3
0.486,-7.780E-2,9.479E-3
0.488,-7.849E-2,1.027E-2
0.490,-7.919E-2,1.056E-2
0.492,-8.086E-2,1.076E-2
0.494,-8.294E-2,1.116E-2
0.496,-8.383E-2,1.145E-2
0.498,-8.511E-2,1.293E-2
0.500,-8.600E-2,1.353E-2
0.502,-8.718E-2,1.382E-2
0.504,-8.787E-2,1.392E-2
0.506,-8.847E-2,1.432E-2
0.508,-8.965E-2,1.471E-2
0.510,-9.093E-2,1.491E-2
0.512,-9.271E-2,1.511E-2
0.514,-9.281E-2,1.550E-2
0.516,-9.330E-2,1.580E-2
0.518,-9.449E-2,1.639E-2
0.520,-9.607E-2,1.669E-2
0.522,-9.706E-2,1.698E-2
0.524,-9.814E-2,1.767E-2
0.526,-9.844E-2,1.777E-2
0.528,-9.923E-2,1.807E-2
0.530,-0.101,1.836E-2
0.532,-0.103,1.876E-2
0.534,-0.103,1.886E-2
0.536,-0.103,1.985E-2
0.538,-0.104,1.985E-2
0.540,-0.105,1.985E-2
0.542,-0.106,2.004E-2
0.544,-0.107,2.024E-2
0.546,-0.108,2.054E-2
0.548,-0.109,2.054E-2
0.550,-0.109,2.093E-2
0.552,-0.110,2.162E-2
0.554,-0.112,2.231E-2
0.556,-0.113,2.261E-2
0.558,-0.113,2.271E-2
0.560,-0.114,2.330E-2
0.562,-0.116,2.380E-2
0.564,-0.116,2.429E-2
0.566,-0.117,2.449E-2
0.568,-0.118,2.488E-2
0.570,-0.119,2.518E-2
0.572,-0.120,2.508E-2
0.574,-0.121,2.537E-2
0.576,-0.122,2.597E-2
0.578,-0.124,2.656E-2
0.580,-0.124,2.725E-2
0.582,-0.124,2.695E-2
0.584,-0.124,2.695E-2
0.586,-0.125,2.755E-2
0.588,-0.127,2.804E-2
0.590,-0.127,2.844E-2
0.592,-0.128,2.883E-2
0.594,-0.129,2.972E-2
0.596,-0.129,2.982E-2
0.598,-0.131,3.051E-2
0.600,-0.132,3.120E-2
0.602,-0.132,3.140E-2
0.604,-0.132,3.002E-2
0.606,-0.133,3.051E-2
0.608,-0.133,3.051E-2
0.610,-0.134,3.081E-2
0.612,-0.135,3.110E-2
0.614,-0.135,3.140E-2
0.616,-0.136,3.160E-2
0.618,-0.137,3.199E-2
0.620,-0.138,3.238E-2
0.622,-0.138,3.258E-2
0.624,-0.139,3.258E-2
0.626,-0.139,3.288E-2
0.628,-0.140,3.327E-2
0.630,-0.141,3.396E-2
0.632,-0.142,3.416E-2
0.634,-0.142,3.456E-2
0.636,-0.144,3.564E-2
0.638,-0.145,3.604E-2
0.640,-0.145,3.604E-2
0.642,-0.146,3.633E-2
0.644,-0.147,3.653E-2
0.646,-0.148,3.663E-2
0.648,-0.148,3.683E-2
0.650,-0.149,3.732E-2
0.652,-0.148,3.683E-2
0.654,-0.149,3.791E-2
0.656,-0.150,3.880E-2
0.658,-0.151,3.910E-2
0.660,-0.152,3.969E-2
0.662,-0.153,4.009E-2
0.664,-0.153,4.028E-2
0.666,-0.154,4.048E-2
0.668,-0.154,4.068E-2
0.670,-0.154,4.068E-2
0.672,-0.155,4.088E-2
0.674,-0.156,4.157E-2
0.676,-0.156,4.176E-2
0.678,-0.157,4.216E-2
0.680,-0.157,4.265E-2
0.682,-0.158,4.285E-2
0.684,-0.158,4.305E-2
0.686,-0.159,4.364E-2
0.688,-0.160,4.404E-2
0.690,-0.160,4.413E-2
0.692,-0.161,4.463E-2
0.694,-0.162,4.492E-2
0.696,-0.162,4.502E-2
0.698,-0.162,4.502E-2
0.700,-0.163,4.532E-2
0.702,-0.163,4.571E-2
0.704,-0.164,4.591E-2
0.706,-0.164,4.631E-2
0.708,-0.165,4.670E-2
0.710,-0.166,4.690E-2
0.712,-0.166,4.720E-2
0.714,-0.167,4.739E-2
0.716,-0.167,4.759E-2
0.718,-0.167,4.769E-2
0.720,-0.168,4.818E-2
0.722,-0.168,4.848E-2
0.724,-0.169,4.877E-2
0.726,-0.169,4.917E-2
0.728,-0.170,4.947E-2
0.730,-0.170,4.976E-2
0.732,-0.171,5.006E-2
0.734,-0.171,5.026E-2
0.736,-0.172,5.045E-2
0.738,-0.172,5.085E-2
0.740,-0.173,5.124E-2
0.742,-0.174,5.134E-2
0.744,-0.175,5.154E-2
0.746,-0.175,5.164E-2
0.748,-0.174,5.055E-2
0.750,-0.175,5.085E-2
0.752,-0.176,5.114E-2
0.754,-0.176,5.144E-2
0.756,-0.176,5.174E-2
0.758,-0.177,5.253E-2
0.760,-0.178,5.342E-2
0.762,-0.178,5.371E-2
0.764,-0.178,5.421E-2
0.766,-0.179,5.470E-2
0.768,-0.179,5.490E-2
0.770,-0.179,5.529E-2
0.772,-0.180,5.569E-2
0.774,-0.180,5.588E-2
0.776,-0.180,5.608E-2
0.778,-0.181,5.648E-2
0.780,-0.182,5.657E-2
0.782,-0.183,5.559E-2
0.784,-0.182,5.657E-2
0.786,-0.184,5.618E-2
0.788,-0.184,5.648E-2
0.790,-0.184,5.667E-2
0.792,-0.185,5.756E-2
0.794,-0.186,5.806E-2
0.796,-0.186,5.835E-2
0.798,-0.186,5.875E-2
0.800,-0.187,5.914E-2
0.802,-0.188,5.904E-2
0.804,-0.188,5.954E-2
0.806,-0.189,5.983E-2
0.808,-0.190,6.013E-2
0.810,-0.190,6.033E-2
0.812,-0.190,6.052E-2
0.814,-0.191,6.092E-2
0.816,-0.191,6.151E-2
0.818,-0.192,6.201E-2
0.820,-0.192,6.270E-2
0.822,-0.193,6.329E-2
0.824,-0.193,6.359E-2
0.826,-0.194,6.398E-2
0.828,-0.194,6.398E-2
0.830,-0.194,6.398E-2
0.832,-0.195,6.477E-2
0.834,-0.196,6.516E-2
0.836,-0.196,6.546E-2
0.838,-0.197,6.566E-2
0.840,-0.197,6.487E-2
0.842,-0.198,6.546E-2
0.844,-0.198,6.546E-2
0.846,-0.198,6.546E-2
0.848,-0.199,6.576E-2
0.850,-0.199,6.615E-2
0.852,-0.200,6.665E-2
0.854,-0.200,6.665E-2
0.856,-0.200,6.684E-2
0.858,-0.201,6.734E-2
0.860,-0.202,6.803E-2
0.862,-0.201,6.694E-2
