R_4[Ohm],U_B[V],	U[V]
0,	2.92,	4.97
10,	2.57,	4.96
20,	2.26,	4.96
30,	1.98,	4.96
40,	1.74,	4.96
50,	1.53,	4.96
60,	1.34,	4.96
70,	1.17,	4.96
80,	1.02,	4.96
90,	0.89,	4.96
100,	0.77,	4.96
110,	0.66,	4.96
120,	0.56,	4.96
130,	0.47,	4.96
140,	0.38,	4.96
150,	0.31,	4.96
160,	0.23,	4.96
170,	0.17,	4.96
180,	0.1,	4.96
185,	0.07,	4.96
190,	0.047,	4.96
191,	0.042,	4.96
192,	0.036,	4.96
193,	0.031,	4.96
194,	0.025,	4.96
195,	0.020,	4.96
196,	0.014,	4.96
197,	0.009,	4.96
198,	0.0036,	4.96
199,	-0.0017,	4.96
200,	-0.0069,	4.95
201,	-0.0101,	4.95
202,	-0.0153,	4.95
203,	-0.0205,	4.95
204,	-0.0257,	4.95
205,	-0.0308,	4.95
206,	-0.0359,	4.95
207,	-0.041,	4.95
208,	-0.0461,	4.95
209,	-0.0511,	4.95
210,	-0.0561,	4.95
211,	-0.0609,	4.95
212,	-0.0658,	4.95
213,	-0.0707,	4.95
214,	-0.0755,	4.95
215,	-0.0804,	4.95
216,	-0.0852,	4.95
217,	-0.0899,	4.95
218,	-0.0947,	4.95
219,	-0.0994,	4.95
220,	-0.1041,	4.95
230,	-0.148,	4.95
240,	-0.191,	4.95
250,	-0.231,	4.95
260,	-0.269,	4.95
270,	-0.305,	4.95
280,	-0.339,	4.95
290,	-0.371,	4.95
300,	-0.402,	4.95
350,	-0.535,	4.95
400,	-0.642,	4.95
450,	-0.730,	4.95
500,	-0.803,	4.95
550,	-0.866,	4.95
600,	-0.919,	4.95
650,	-0.965,	4.95
700,	-1.006,	4.95
750,	-1.042,	4.95
800,	-1.074,	4.95
900,	-1.128,	4.95
1000,	-1.171,	4.95
1100,	-1.209,	4.95
1200,	-1.240,	4.95
1300,	-1.267,	4.95
1400,	-1.291,	4.95
1500,	-1.311,	4.95
1600,	-1.330,	4.95
1700,	-1.346,	4.95
2000,	-1.385,	4.95
3000,	-1.461,	4.95
4000,	-1.5,	4.95
5000,	-1.523,	4.95
10000,	-1.571,	4.95