R_L[Ohm],I[mA],U[mV],Messbereich
1,0.548,58.3,2mA
2,0.548,58.8,2mA
3,0.548,59.4,2mA
4,0.549,59.9,2mA
5,0.547,60.3,2mA
6,0.547,60.9,2mA
7,0.548,61.5,2mA
8,0.548,62,2mA
9,0.547,62.6,2mA
10,0.547,63.1,2mA
20,0.547,68.5,2mA
30,0.547,74.1,2mA
40,0.547,79.5,2mA
50,0.547,84.9,2mA
60,0.547,90.4,2mA
70,0.547,96,2mA
80,0.547,101.4,2mA
90,0.546,106.9,2mA
100,0.546,112.4,2mA
200,0.546,166.9,2mA
300,0.545,221,2mA
400,0.544,275,2mA
500,0.544,329,2mA
600,0.543,383,2mA
700,0.542,436,2mA
800,0.541,490,2mA
900,0.541,544,2mA
1000,0.54,597,2mA
1250,0.532,726,2mA
1500,0.536,860,2mA
1750,0.535,993,2mA
2000,0.533,1124,2mA
2250,0.531,1245,2mA
2500,0.528,1374,2mA
2750,0.527,1503,2mA
3000,0.523,1622,2mA
3250,0.516,1730,2mA
3500,0.509,1837,2mA
3750,0.505,1947,2mA
4000,0.497,2040,2mA
4250,0.488,2120,2mA
4500,0.48,2210,2mA
4750,0.473,2290,2mA
5000,0.463,2360,2mA
6000,0.426,2600,2mA
7000,0.391,2780,2mA
8000,0.358,2910,2mA
9000,0.33,3010,2mA
10000,0.305,3080,2mA
11000,0.284,3150,2mA
12000,0.265,3210,2mA
13000,0.248,3250,2mA
14000,0.233,3290,2mA
15000,0.22,3320,2mA
16000,0.208,3350,2mA
17000,0.197,3370,2mA
18000,0.187,3390,2mA
19000,0.178,3410,2mA
20000,0.17,3420,2mA
30000,0.117,3530,2mA
40000,0.089,3570,2mA
50000,0.072,3600,2mA
60000,0.06,3620,2mA
70000,0.052,3640,2mA
80000,0.045,3650,2mA
90000,0.04,3650,2mA
100000,0.036,3660,2mA