R_L[Ohm],I[mA],U[V],Messbereich
1,26.2,0.198,200mA
2,26,0.223,200mA
3,25.7,0.248,200mA
4,25.5,0.271,200mA
5,25.3,0.293,200mA
6,25.2,0.313,200mA
7,25,0.335,200mA
8,24.8,0.357,200mA
9,24.6,0.38,200mA
10,24.4,0.4,200mA
11,24.2,0.42,200mA
12,24,0.44,200mA
13,23.8,0.46,200mA
14,23.6,0.48,200mA
15,23.5,0.5,200mA
16,23.3,0.52,200mA
17,23.1,0.54,200mA
18,22.9,0.55,200mA
19,22.8,0.57,200mA
20,22.5,0.6,200mA
30,21,0.766,200mA
40,19.7,0.915,200mA
50,18.5,1.045,200mA
60,17.5,1.165,200mA
70,16.5,1.268,200mA
80,15.7,1.359,200mA
90,14.9,1.442,200mA
100,14.2,1.519,200mA
110,13.6,1.588,200mA
120,13,1.65,200mA
130,12.5,1.71,200mA
140,12,1.76,200mA
150,11.5,1.81,200mA
160,11.1,1.86,200mA
170,10.7,1.9,200mA
180,10.4,1.94,200mA
190,10,1.98,200mA
200,9.47,2.04,20mA
300,7.25,2.29,20mA
400,5.87,2.44,20mA
500,4.93,2.54,20mA
600,4.25,2.62,20mA
700,3.73,2.67,20mA
800,3.33,2.72,20mA
900,3,2.75,20mA
1000,2.74,2.78,20mA
2000,1.45,2.93,20mA
3000,0.961,2.98,2mA
4000,0.733,3.01,2mA
5000,0.592,3.02,2mA
6000,0.497,3.03,2mA
7000,0.428,3.04,2mA
8000,0.376,3.04,2mA
9000,0.335,3.05,2mA
10000,0.302,3.05,2mA
20000,0.152,3.07,2mA
30000,0.102,3.07,2mA
40000,0.076,3.08,2mA
50000,0.061,3.08,2mA
60000,0.051,3.08,2mA
70000,0.044,3.08,2mA
80000,0.038,3.08,2mA
90000,0.034,3.08,2mA
100000,0.03,3.08,2mA